Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,260,4,0.137,88.5,38.9,177.0,85.08,701.51,17.7
Well 1,261,4,0.137,89.8977,36.8,176.27,85.11,703.64,15.2
Well 1,273,3,0.135,94.581,36.5,175.15,97.54,702.93,15.9
Well 1,283,3,0.126,108.73559999999999,36.8,175.38,107.79,702.82,16.6
Well 1,281,3,0.126,110.4894,36.7,175.38,105.38,702.87,17.2
Well 1,281,3,0.126,112.2688,37.4,175.42,105.21,702.82,18.2
Well 1,280,4,0.126,109.1572,37.5,176.06,105.3,702.22,18.5
Well 1,281,3,0.128,110.5212,36.8,178.26,105.04,702.87,18.6
Well 1,281,3,0.125,101.79579999999999,37.3,175.51,105.38,702.16,18.9
Well 1,281,4,0.128,110.40960000000001,37.6,178.08,105.41,702.16,18.7
Well 1,281,3,0.126,112.46719999999999,37.6,175.73,105.3,702.16,18.2
Well 1,280,3,0.128,101.69369999999999,37.0,178.41,105.27,702.16,18.8
Well 1,281,3,0.129,91.7235,35.6,179.85,105.24,702.16,18.8
Well 1,281,3,0.125,89.0613,36.7,174.63,105.18,702.82,18.8
Well 1,281,3,0.125,87.17,37.6,174.34,105.3,702.16,18.9
Well 1,281,3,0.127,84.9264,37.5,176.93,105.18,702.87,19.6
Well 1,281,3,0.126,83.9904,37.6,174.98,105.16,702.16,19.5
Well 1,280,4,0.128,91.0605,37.1,178.55,105.02,702.16,21.7
Well 1,280,4,0.131,97.13310000000001,36.9,183.27,105.18,702.16,21.7
Well 1,280,3,0.126,95.02380000000001,38.7,175.97,105.24,702.16,21.0
Well 1,282,2,0.112,50.1536,29.9,156.73,110.2,688.8,21.8
Well 1,282,2,0.105,38.389,31.6,147.65,110.08,688.8,22.0
Well 1,282,3,0.107,43.5696,32.2,150.24,110.14,688.15,22.0
Well 1,282,3,0.108,43.732,32.5,150.8,110.14,688.15,21.1
Well 1,282,2,0.107,40.67550000000001,31.1,150.65,110.25,689.51,19.1
Well 1,283,2,0.106,43.297,28.5,149.3,110.34,691.59,17.7
Well 1,286,3,0.106,47.8336,34.0,149.48,110.11,703.16,17.2
Well 1,285,3,0.105,56.82900000000001,35.7,149.55,110.34,701.91,17.8
Well 1,285,3,0.106,72.336,36.8,150.7,110.25,700.55,20.5
Well 1,285,3,0.107,72.49919999999999,38.9,151.04,110.22,700.55,21.1
Well 1,285,3,0.106,78.1508,39.2,150.29,110.2,699.77,21.2
Well 1,285,3,0.106,93.04339999999999,39.9,150.07,110.25,699.19,19.6
Well 1,285,3,0.107,94.10979999999999,39.2,151.79,110.08,699.77,19.9
Well 1,285,3,0.108,109.6992,39.8,152.36,110.11,699.12,19.3
Well 1,285,3,0.107,115.6188,39.9,152.13,110.28,699.12,18.7
Well 1,285,3,0.107,115.18560000000001,38.5,151.56,110.14,700.49,18.0
Well 1,285,3,0.106,115.41529999999999,36.7,149.89,110.22,701.08,17.5
Well 1,286,3,0.106,116.04670000000002,35.8,150.71,110.28,701.2,17.2
Well 1,286,3,0.106,115.5077,35.1,150.01,110.11,701.85,16.9
Well 1,286,3,0.106,108.0864,35.1,150.12,110.28,701.2,17.6
